year,1986 Low Income Housing,1990 Seattle Art Museum,1990 Families/Ed,1991 Seattle Center/Comm Ctrs,1995 Low Income Housing,1997 Families/Ed,1999 Seattle Center/Comm Ctrs,2000 Parks for All,2002 Low Income Housing,2004 Fire Facilities,2004 Families/Ed,2006 Bridging the Gap Transportation,2009 Pike Place Market,2008 Parks,2009 Housing,2011 Families/Ed,2012 Library,2014 Preschool,2016 Seattle Park District,2016 Move Seattle Transportation,total
1990,12396056.36,8250180.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20646236.48
1991,11721252.4,7801065.169,15948877.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35471195.27
1992,11308057.17,7526063.591,16155983.63,11306473.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46296577.64
1993,10999439.8,7320663.675,16500810.44,10997899.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45818813.02
1994,10634776.37,3961861.18,16751449.44,10633286.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41981373.74
1995,0,0,17069320.02,10319105.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27388425.61
1996,0,0,17331049.59,9978411.314,13513372.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40822833.86
1997,0,0,17583572.56,9641716.454,13057400.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40282689.26
1998,0,0,0,9371495.42,12691450.45,22505992.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44568938.71
1999,0,0,0,9094906.146,12316876.39,21841753.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43253536.01
2000,0,0,0,0,11876987.95,18253465.4,25976085.38,0,0,0,0,0,0,0,0,0,0,0,0,0,56106538.73
2001,0,0,0,0,11461261.39,13549649.97,22356922.46,31164194.94,0,0,0,0,0,0,0,0,0,0,0,0,78532028.76
2002,0,0,0,0,11243297.63,13291970.42,21267152.67,31519249.45,0,0,0,0,0,0,0,0,0,0,0,0,77321670.17
2003,0,0,0,0,0,3925382.215,10467685.91,31989382.9,16075374.41,0,0,0,0,0,0,0,0,0,0,0,62457825.44
2004,0,0,0,0,0,3876995.378,10338654.34,32574507.66,15877218.8,32308294.81,0,0,0,0,0,0,0,0,0,0,94975670.99
2005,0,0,0,0,0,0,2513656.344,32661671.31,15441031.47,31420704.3,20968921.22,0,0,0,0,0,0,0,0,0,103005984.6
2006,0,0,0,0,0,0,2424055.877,32473850.97,14890628.61,30300698.46,20221474.12,0,0,0,0,0,0,0,0,0,100310708
2007,0,0,0,0,0,0,1166751.679,32229848.35,14334377.43,24501785.25,19466085.01,42761449.02,0,0,0,0,0,0,0,0,134460296.7
2008,0,0,0,0,0,0,0,25057638.3,13756266.71,23513619.23,18681010.63,41447233.02,0,0,0,0,0,0,0,0,122455767.9
2009,0,0,0,0,0,0,0,0,13676599.8,22152911.59,18572822.96,41619270.57,13915145.47,26995382.21,0,0,0,0,0,0,136932132.6
2010,0,0,0,0,0,0,0,0,0,13041866.09,18518339.9,41912152.97,13874325.63,26916191.72,22991739.93,0,0,0,0,0,137254616.2
2011,0,0,0,0,0,0,0,0,0,12701650.81,18035263.15,41227004.14,13512394.48,26214045.28,22391968.3,0,0,0,0,0,134082326.2
2012,0,0,0,0,0,0,0,0,0,7907080.276,0,40610256.14,13178467.13,25566226.23,21838602.97,33843357.86,0,0,0,0,142943990.6
2013,0,0,0,0,0,0,0,0,0,0,0,40523951.52,13020257.66,25259299.85,21576427.27,33771433.91,17707550.41,0,0,0,151858920.6
2014,0,0,0,0,0,0,0,0,0,0,0,40188027.96,7989789.381,24801893.56,21185712.02,33491484.99,17560763.4,0,0,0,145217671.3
2015,0,0,0,0,0,0,0,0,0,0,0,39686698.26,0,0,20714286,33073692.4,17341700,14566629.5,0,0,125383006.2
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20714286,33073692,17341700,14566630,47800000,95000000,228496308
